DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2018/12/17 00:04:07;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,63";"-54,16";;
2018/12/17 00:04:07;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,61";"-54,16";;
2018/12/17 00:05:52;METOP-B;Brasil;RIO DE JANEIRO;RIO DE JANEIRO;Mata Atlantica;0;0;0;"-22,9014";"-43,714901";;
2018/12/17 00:10:08;METOP-B;Brasil;RIO GRANDE DO NORTE;VICOSA;Caatinga;0;0;0;"-5,9917";"-37,966099";;
2018/12/17 00:19:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,63";"-54,16";;
2018/12/17 00:19:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,61";"-54,16";;
2018/12/17 00:22:19;NOAA-18D;Brasil;MATO GROSSO;CACERES;Amazonia;0;0;0;"-15,724646";"-57,692032";;
2018/12/17 00:22:19;NOAA-18D;Brasil;MATO GROSSO;CACERES;Amazonia;0;0;0;"-15,723406";"-57,684555";;
2018/12/17 00:22:22;NOAA-18D;Brasil;MATO GROSSO;VILA BELA DA SANTISSIMA TRINDADE;Amazonia;0;0;0;"-16,073908";"-59,934029";;
2018/12/17 00:22:22;NOAA-18D;Brasil;MATO GROSSO;VILA BELA DA SANTISSIMA TRINDADE;Amazonia;0;0;0;"-16,072723";"-59,92638";;
2018/12/17 00:24:04;NOAA-18D;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,741347";"-60,219204";;
2018/12/17 00:24:04;NOAA-18D;Brasil;MATO GROSSO;ARIPUANA;Amazonia;0;0;0;"-9,74019";"-60,212013";;
2018/12/17 00:34:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,63";"-54,16";;
2018/12/17 00:34:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,61";"-54,16";;
2018/12/17 00:49:07;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,63";"-54,16";;
2018/12/17 00:49:07;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,61";"-54,16";;
2018/12/17 01:03:03;GOES-16;Brasil;PARANA;GUAIRACA;Mata Atlantica;0;0;0;"-22,94";"-52,74";;
2018/12/17 01:04:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,63";"-54,16";;
2018/12/17 01:04:06;GOES-16;Brasil;MATO GROSSO;PARANATINGA;Amazonia;0;0;0;"-12,61";"-54,16";;
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;CORURIPE;Mata Atlantica;0;0;0;"-10,237";"-36,293";;71.6
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;CORURIPE;Mata Atlantica;0;0;0;"-10,239";"-36,303";;47.7
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;CORURIPE;Mata Atlantica;0;0;0;"-10,247";"-36,292";;24.8
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;CORURIPE;Mata Atlantica;0;0;0;"-10,248";"-36,302";;18.2
2018/12/17 01:05:00;TERRA_M-M;Brasil;SERGIPE;MARUIM;Mata Atlantica;0;0;0;"-10,752";"-37,15";;62.6
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;BARRA DE SAO MIGUEL;Mata Atlantica;0;0;0;"-9,822";"-35,917";;5.6
2018/12/17 01:05:00;TERRA_M-M;Brasil;ALAGOAS;CAMPO ALEGRE;Mata Atlantica;0;0;0;"-9,885";"-36,269";;5.1
